_id,_labels,name,BetweennessCentrality,ClosenessCentrality,DegreeCentrality,EigenCentrality,hitsauth,hitshub,pagerank
95,:Tail,policy area,0,0.6666666666666666,0,0.04299989,1.2231467051398786E-21,0,0.22862500000000002
96,:Tail,operational appropriation,0,0.6666666666666666,0,0.04299989,1.2231467051398786E-21,0,0.22862500000000002
97,:Tail,administrative appropriation,0,0.6666666666666666,0,0.04299989,1.2231467051398786E-21,0,0.22862500000000002
98,:Tail,negative revenue,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
99,:Tail,negative remuneration,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
100,:Tail,deposit,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
101,:Tail,net amount,0,0.6666666666666666,0,0.04299989,0.007599661,0,0.19542187500000002
102,:Tail,summary statement,0,0.6666666666666666,0,0.04299989,0.007599661,0,0.19542187500000002
103,:Tail,budget,0,0.6666666666666666,0,0.29448282732955167,0.029852648797637497,0,0.3536989583333334
104,:Tail,provision title,0,0.75,0,0.085898613,2.6768395512523515E-4,0,0.34890000000000004
105,:Tail,follow case,0,0.6666666666666666,0,0.04299989,2.5968692507745406E-4,0,0.19972500000000004
106,:Tail,ground,0,0.6666666666666666,0,0.04299989,0.007905413,0,0.16657500000000003
107,:Tail,adequacy,0,0.6666666666666666,0,0.04299989,0.007905413,0,0.16657500000000003
108,:Tail,possibility,0,0.6666666666666666,0,0.04299989,0.007905413,0,0.16657500000000003
109,:Tail,condition,0,0.6666666666666666,0,0.04299989,0.007905413,0,0.16657500000000003
110,:Tail,principle,0,0.6666666666666666,0,0.04299989,0.007905413,0,0.16657500000000003
111,:Tail,sound financial management,0,0.6666666666666666,0,0.04299989,0.007905413,0,0.16657500000000003
112,:Tail,budget line,0,0.75,0,0.085898613,0.0081651,0,0.21630000000000002
113,:Tail,procedure,0,0.6666666666666666,0,0.04299989,4.312755481478929E-4,0,0.17983500000000002
114,:Tail,regulation,0,0.6666666666666666,0,0.04299989,4.312755481478929E-4,0,0.17983500000000002
115,:Tail,case,0,0.6666666666666666,0,0.04299989,4.312755481478929E-4,0,0.17983500000000002
116,:Tail,negative reserve,0,0.6,0,0.082943913,6.41281139744377E-16,0,0.19834375
117,:Tail,maximum,0,0.6,0,0.082943913,6.41281139744377E-16,0,0.19834375
118,:Tail,eur,0,0.6,0,0.082943913,6.41281139744377E-16,0,0.19834375
119,:Tail,payment appropriation,0,0.625,0,0.12584263606263196,0.1711176746185171,0,0.337929688
120,:Tail,reserve,0,0.6,0,0.082943913,6.41281139744377E-16,0,0.19834375
121,:Tail,emergency aid,0,0.6,0,0.082943913,6.41281139744377E-16,0,0.19834375
122,:Tail,country,0,0.6,0,0.082943913,6.41281139744377E-16,0,0.19834375
123,:Tail,general statement,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
124,:Tail,current financial year,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
125,:Tail,ii,0,0.6666666666666666,0,0.12584263606263196,0.1782834018561962,0,0.18535468750000003
126,:Tail,estimate revenue,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
127,:Tail,year n2,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
128,:Tail,iii,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
129,:Tail,commitment,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
130,:Tail,iv,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
131,:Tail,n–2,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
132,:Tail,percentage,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
133,:Tail,vi    appropriate remark,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
134,:Tail,subdivision,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
135,:Tail,article 471,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
136,:Tail,reference,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
137,:Tail,basic act,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
138,:Tail,nature,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
139,:Tail,purpose,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
140,:Tail,section,0,0.6666666666666666,0,0.12584263606263196,0.1782834018561962,0,0.18535468750000003
141,:Tail,structure,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
142,:Tail,regard,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
143,:Tail,staff,0,0.6,0,0.082943913,0.16600554587340768,0,0.15624218750000005
144,:Tail,contribution,0,0.6,0,0.082943913,0.001468075,0,0.19232291666666668
145,:Tail,relevant operation,0,0.6666666666666666,0,0.04299989,1.05238514729137E-30,0,0.2955625
146,:Tail,appropriate remark,0,0.6666666666666666,0,0.04299989,0.012277855982788506,0,0.1791125
147,:Tail,commission,0,0.6666666666666666,0,0.04299989,0.012277855982788506,0,0.1791125
148,:Tail,relevant document,0,0.6,0,0.082943913,0.001228811,0,0.17787291666666669
149,:Tail,addition,0,0.6,0,0.082943913,0.001228811,0,0.17787291666666669
150,:Tail,document,0,0.6,0,0.082943913,0.001228811,0,0.17787291666666669
151,:Tail,article 521,0,0.6,0,0.082943913,0.00874723,0,0.18028125
152,:Tail,excess,0,0.6666666666666666,0,0.04299989,5.517529041030978E-25,0,0.23181250000000003
153,:Tail,limit,0,0.6666666666666666,0,0.04299989,5.517529041030978E-25,0,0.23181250000000003
154,:Tail,second subparagraph,0,0.6666666666666666,0,0.04299989,1.05238514729137E-30,0,0.31362500000000004
155,:Tail,act,0,0.6666666666666666,0,0.04299989,0.007278245,0,0.20896875
156,:Tail,financial term,0,0.6666666666666666,0,0.04299989,0.007278245,0,0.20896875
157,:Article,Article 40  Estimated budget of the Union bodies referred to in Article 70 ,0,0,1,1.0116750125885604E-4,0,4.674781504206451E-15,0.15000000000000002
158,:Article,Article 41  Draft budget ,0,0,8,1.0116750125885604E-4,0,2.0971434355233554E-13,0.15000000000000002
159,:Article,Article 42  Letter of amendment to the draft budget ,0,0,2,1.0116750125885604E-4,0,1.90734084346637E-25,0.15000000000000002
160,:Article,Article 44  Draft amending budgets ,0,0,2,1.0116750125885604E-4,0,1.90734084346637E-25,0.15000000000000002
161,:Article,Article 45  Early transmission of estimates and draft budgets ,0,0,1,1.0116750125885604E-4,0,1.8189819750465106E-31,0.15000000000000002
162,:Article,Article 47  Budget nomenclature ,0,0,1,1.0116750125885604E-4,0,1.8189819750465106E-31,0.15000000000000002
163,:Article,Article 48  Negative revenue ,0,0,2,1.0116750125885604E-4,0,5.594046535372676E-15,0.15000000000000002
164,:Article,Article 49  Provisions ,0,0,5,1.0116750125885604E-4,0,1.3642433389251617E-14,0.15000000000000002
165,:Article,Article 50  Negative reserve ,0,0,2,1.0116750125885604E-4,0,4.873312752812753E-23,0.15000000000000002
166,:Article,Article 51  Emergency Aid Reserve ,0,0,1,1.0116750125885604E-4,0,3.0118729190465967E-23,0.15000000000000002
167,:Article,Article 52  Presentation of the budget ,0,0,6,1.0116750125885604E-4,0,2.84475657789344E-14,0.15000000000000002
168,:Article,Article 53  Rules on the establishment plans for staff ,0,0,3,1.0116750125885604E-4,0,6.96333456616292E-15,0.15000000000000002
169,:Article,Article 55  Compliance of Union acts with the budget ,0,0,1,1.0116750125885604E-4,0,1.8189819750465106E-31,0.15000000000000002
